id,annotator_code,combo_id,seed_id,level,class_tag,ratio_type,model_a,model_b,a_existence,a_appearance,a_interaction,b_existence,b_appearance,b_interaction,preference,prompt_ilogical,created_at
c739c74f-c91e-48b2-8a55-53c83439c6fd,1,60001,35000,8,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,1,B,False,2026-04-19 21:48:14.275654+00:00
3c934880-6347-410f-a260-2960c781a685,1,60002,35000,6,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,1,0,0,1,1,1,B,False,2026-04-19 21:48:52.542420+00:00
756f32c7-3550-4b9a-93ac-5739ca22539b,1,60003,35000,4,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,1,0,0,1,1,0,B,False,2026-04-19 22:08:35.739705+00:00
2874265f-2ca6-4f4c-8f7d-3250bc67120e,1,60004,35000,2,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,1,1,1,0,A,False,2026-04-19 22:08:54.141563+00:00
7afcc535-e350-4783-8d81-1a57428b367c,1,60005,35001,8,occlusion_no_interaction,human_heavy,nano_banana_v10,mosaic_v10,1,0,1,0,0,0,A,False,2026-04-20 00:02:24.286196+00:00
3dbab47c-0929-4bfc-8412-701ad0402010,1,60006,35001,6,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,1,1,B,False,2026-04-20 00:03:49.929752+00:00
64266cc5-7d3d-41a1-aff9-2f811669dc62,1,60007,35001,4,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,1,1,B,False,2026-04-20 00:04:27.366983+00:00
0439aff9-e286-4d27-91f0-c83ad711812f,1,60008,35001,2,occlusion_no_interaction,human_heavy,nano_banana_v10,mosaic_v10,0,1,0,0,0,0,A,False,2026-04-20 00:04:51.009797+00:00
b4cfba10-4e38-4df0-ab95-b2ee7fdbe3d7,3,60001,35000,8,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,1,0,0,0,A,False,2026-04-20 04:17:44.161174+00:00
11954e05-47ff-4de6-8849-a384684f2181,3,60002,35000,6,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,1,0,0,0,A,False,2026-04-20 04:18:36.566812+00:00
