Metric,Accuracy,ComparedPairs,Ties,L2,L4,L6,L8,NoInteract_NoOccl,Occl_NoInteract,Occl_Interact
ArcFace Distance,0.8728906421214113,4563,10,0.8136200716845878,0.8642570281124498,0.8993558776167472,0.8950766747376917,0.8689700130378096,0.8276779773785762,0.9213630406290957
SCR,0.6734784540204354,2251,2740,0.75,0.6801705756929638,0.6495726495726496,0.6890308839190629,0.6544021024967148,0.6257062146892656,0.7352941176470589
DINO,0.6363454217591665,4991,0,0.6111553784860557,0.656776263031275,0.6364365971107544,0.6411906677393403,0.6338112305854241,0.6255293405928615,0.6496394230769231
SigLIP-I,0.6233219795632138,4991,0,0.6693227091633466,0.6311146752205292,0.6187800963081862,0.5736122284794851,0.6224611708482676,0.5940713853599516,0.6532451923076923
CLIP-I,0.6019319782652445,4969,22,0.6466826538768985,0.6403861625100563,0.5566343042071198,0.5633575464083939,0.61437125748503,0.563603164942179,0.6274154589371981
SSIM,0.5898617511520737,4991,0,0.7075697211155378,0.5605453087409783,0.5449438202247191,0.5454545454545454,0.6182795698924731,0.5075620084694494,0.6430288461538461
CLIP-T,0.5871800040314453,4961,30,0.5668534827862289,0.6095392077607114,0.5663430420711975,0.606133979015335,0.5939759036144578,0.5538648813146683,0.6133896260554885
SigLIP-T,0.5792426367461431,4991,0,0.5490039840637451,0.6070569366479551,0.5987158908507223,0.5623491552695092,0.5967741935483871,0.4966727162734422,0.6436298076923077
ImageReward,0.573632538569425,4991,0,0.5784860557768924,0.5597433841218925,0.5674157303370787,0.588897827835881,0.5854241338112306,0.5595886267392619,0.5757211538461539
MS-SSIM,0.5664195551993588,4991,0,0.6812749003984063,0.5276663993584603,0.5337078651685393,0.5221238938053098,0.5872162485065711,0.49788263762855417,0.6135817307692307
HPS v2.1,0.5201362452414345,4991,0,0.5179282868525896,0.5036086607858862,0.5232744783306581,0.5358004827031375,0.5065710872162486,0.5946763460375075,0.4597355769230769
PickScore,0.485674213584452,4991,0,0.546613545816733,0.49478748997594224,0.4301765650080257,0.47063555913113436,0.4838709677419355,0.5311554748941318,0.4423076923076923
PSNR,0.3987176918453216,4991,0,0.546613545816733,0.36728147554129914,0.3475120385232745,0.33226065969428803,0.3578255675029869,0.40955837870538414,0.42908653846153844
