Metric,Accuracy,ComparedPairs,Ties,Dataset
PSNR,0.7430508474576272,2950,0,v10
PSNR,0.3987176918453216,4991,0,v13
SSIM,0.7216949152542372,2950,0,v10
SSIM,0.5898617511520737,4991,0,v13
MS-SSIM,0.7457627118644068,2950,0,v10
MS-SSIM,0.5664195551993588,4991,0,v13
CLIP-T,0.36684782608695654,2944,6,v10
CLIP-T,0.5871800040314453,4961,30,v13
CLIP-I,0.5477164280845263,2934,16,v10
CLIP-I,0.6019319782652445,4969,22,v13
SigLIP-T,0.44169491525423726,2950,0,v10
SigLIP-T,0.5792426367461431,4991,0,v13
SigLIP-I,0.7128813559322034,2950,0,v10
SigLIP-I,0.6233219795632138,4991,0,v13
DINO,0.5959322033898306,2950,0,v10
DINO,0.6363454217591665,4991,0,v13
ImageReward,0.34508474576271186,2950,0,v10
ImageReward,0.573632538569425,4991,0,v13
PickScore,0.40711864406779663,2950,0,v10
PickScore,0.485674213584452,4991,0,v13
HPS v2.1,0.3864406779661017,2950,0,v10
HPS v2.1,0.5201362452414345,4991,0,v13
SCR,0.6222961730449251,1202,1748,v10
SCR,0.6734784540204354,2251,2740,v13
