metrics_model_name,size,mode,category,tp,tn,fp,fn,precision,recall,f1,accuracy,support
qwen35_08b_layer_only,08b,layer_only,existence,3339,2418,405,679,0.8918269230769231,0.8310104529616724,0.8603452718371554,0.8415436339716416,6841
qwen35_08b_layer_only,08b,layer_only,appearance,722,3826,410,1030,0.6378091872791519,0.4121004566210046,0.5006934812760055,0.7595190380761523,5988
qwen35_08b_layer_only,08b,layer_only,interaction,757,3371,223,1214,0.7724489795918368,0.38406900050735665,0.5130464249406981,0.7417789757412399,5565
qwen35_08b_lora_layer,08b,lora_layer,existence,3827,2251,572,191,0.8699704478290521,0.952463912394226,0.9093501247475347,0.8884665984505189,6841
qwen35_08b_lora_layer,08b,lora_layer,appearance,1146,3640,596,606,0.6578645235361653,0.6541095890410958,0.6559816828849456,0.7992651970607882,5988
qwen35_08b_lora_layer,08b,lora_layer,interaction,1226,3251,343,745,0.781389420012747,0.6220192795535261,0.6926553672316385,0.804492362982929,5565
qwen35_2b_layer_only,2b,layer_only,existence,3770,2154,669,248,0.8492903807163775,0.93827775012444,0.8915691143431477,0.8659552696974127,6841
qwen35_2b_layer_only,2b,layer_only,appearance,960,3487,749,792,0.56173200702165,0.547945205479452,0.5547529615718,0.7426519706078825,5988
qwen35_2b_layer_only,2b,layer_only,interaction,990,3313,281,981,0.7789142407553108,0.502283105022831,0.6107341147439852,0.773225516621743,5565
qwen35_2b_lora_layer,2b,lora_layer,existence,3890,2236,587,128,0.8688854143399598,0.9681433549029368,0.9158328428487346,0.8954831165034352,6841
qwen35_2b_lora_layer,2b,lora_layer,appearance,1514,3478,758,238,0.6663732394366197,0.8641552511415526,0.7524850894632207,0.8336673346693386,5988
qwen35_2b_lora_layer,2b,lora_layer,interaction,1326,3288,306,645,0.8125,0.6727549467275494,0.7360532889258949,0.82911051212938,5565
qwen35_4b_layer_only,4b,layer_only,existence,3823,2119,704,195,0.8444886238126795,0.9514683922349427,0.8947922761849034,0.8685864639672563,6841
qwen35_4b_layer_only,4b,layer_only,appearance,1423,3340,896,329,0.6136265631737818,0.8122146118721462,0.6990911323999017,0.7954241816967268,5988
qwen35_4b_layer_only,4b,layer_only,interaction,1437,3063,531,534,0.7301829268292683,0.7290715372907154,0.7296268088347296,0.8086253369272237,5565
qwen35_4b_lora_layer,4b,lora_layer,existence,3888,2343,480,130,0.8901098901098901,0.9676455948232952,0.9272597185785834,0.9108317497441895,6841
qwen35_4b_lora_layer,4b,lora_layer,appearance,1519,3630,606,233,0.7148235294117647,0.8670091324200914,0.7835955635800878,0.8598864395457582,5988
qwen35_4b_lora_layer,4b,lora_layer,interaction,1379,3236,358,592,0.7938975244674726,0.6996448503297819,0.743797195253506,0.8292902066486972,5565
