metrics_model_name,size,mode,dataset,category,tp,tn,fp,fn,precision,recall,f1,accuracy,support
qwen35_2b_layer_only,2b,layer_only,v10,existence,1324,974,243,43,0.8449266113592853,0.9685442574981712,0.9025221540558964,0.8893188854489165,2584
qwen35_2b_layer_only,2b,layer_only,v10,appearance,398,1562,433,27,0.4789410348977136,0.9364705882352942,0.6337579617834395,0.8099173553719008,2420
qwen35_2b_layer_only,2b,layer_only,v10,interaction,561,1248,209,165,0.7285714285714285,0.7727272727272727,0.75,0.8286761337608796,2183
qwen35_2b_layer_only,2b,layer_only,v13,existence,2446,1180,426,205,0.8516713091922006,0.922670690305545,0.8857504979177984,0.851773549447968,4257
qwen35_2b_layer_only,2b,layer_only,v13,appearance,562,1925,316,765,0.6400911161731208,0.4235116804822909,0.5097505668934241,0.6970291479820628,3568
qwen35_2b_layer_only,2b,layer_only,v13,interaction,429,2065,72,816,0.8562874251497006,0.344578313253012,0.49140893470790376,0.7374334713187463,3382
qwen35_2b_lora_layer,2b,lora_layer,v10,existence,1257,1131,86,110,0.93596425912137,0.9195318215069496,0.9276752767527675,0.9241486068111455,2584
qwen35_2b_lora_layer,2b,lora_layer,v10,appearance,372,1685,310,53,0.5454545454545454,0.8752941176470588,0.6720867208672087,0.85,2420
qwen35_2b_lora_layer,2b,lora_layer,v10,interaction,522,1304,153,204,0.7733333333333333,0.71900826446281,0.7451820128479657,0.8364635822262941,2183
qwen35_2b_lora_layer,2b,lora_layer,v13,existence,2633,1105,501,18,0.8401403956604978,0.9932101093926821,0.9102852203975799,0.8780831571529246,4257
qwen35_2b_lora_layer,2b,lora_layer,v13,appearance,1142,1793,448,185,0.7182389937106918,0.8605877920120573,0.7829962290023997,0.8225896860986547,3568
qwen35_2b_lora_layer,2b,lora_layer,v13,interaction,804,1984,153,441,0.8401253918495298,0.6457831325301204,0.7302452316076294,0.8243642814902424,3382
qwen35_08b_layer_only,08b,layer_only,v10,existence,1168,1106,111,199,0.9132134480062549,0.8544257498171178,0.8828420256991686,0.8800309597523219,2584
qwen35_08b_layer_only,08b,layer_only,v10,appearance,368,1717,278,57,0.5696594427244582,0.8658823529411764,0.6872082166199813,0.8615702479338843,2420
qwen35_08b_layer_only,08b,layer_only,v10,interaction,508,1272,185,218,0.733044733044733,0.699724517906336,0.7159971811134601,0.81539166284929,2183
qwen35_08b_layer_only,08b,layer_only,v13,existence,2171,1312,294,480,0.8807302231237323,0.8189362504715202,0.8487099296325255,0.8181818181818182,4257
qwen35_08b_layer_only,08b,layer_only,v13,appearance,354,2109,132,973,0.7283950617283951,0.266767143933685,0.39051296194153334,0.6903026905829597,3568
qwen35_08b_layer_only,08b,layer_only,v13,interaction,249,2099,38,996,0.867595818815331,0.2,0.32506527415143605,0.6942637492607925,3382
qwen35_08b_lora_layer,08b,lora_layer,v10,existence,1190,1147,70,177,0.9444444444444444,0.8705193855157278,0.9059763989341454,0.9044117647058824,2584
qwen35_08b_lora_layer,08b,lora_layer,v10,appearance,377,1761,234,48,0.6170212765957447,0.8870588235294118,0.7277992277992278,0.8834710743801653,2420
qwen35_08b_lora_layer,08b,lora_layer,v10,interaction,488,1340,117,238,0.8066115702479338,0.6721763085399449,0.73328324567994,0.8373797526339899,2183
qwen35_08b_lora_layer,08b,lora_layer,v13,existence,2637,1104,502,14,0.8400764574705321,0.994718973972086,0.910880829015544,0.8787878787878788,4257
qwen35_08b_lora_layer,08b,lora_layer,v13,appearance,769,1879,362,558,0.6799292661361627,0.5795026375282593,0.6257119609438568,0.742152466367713,3568
qwen35_08b_lora_layer,08b,lora_layer,v13,interaction,738,1911,226,507,0.7655601659751037,0.5927710843373494,0.6681756450882752,0.783264340626848,3382
