id,annotator_code,combo_id,base_id,seed_id,level,class_tag,ratio_type,matchup_key,model_a,model_b,a_existence,a_appearance,a_interaction,b_existence,b_appearance,b_interaction,preference,prompt_ilogical,created_at
d7a0e0a1-1118-46a4-97d8-2426509aa15c,1,pair01_57,57,20014,8,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,0,0,0,0,1,1,B,False,2026-04-27 07:29:20.621407+00:00
cd839f32-cc7c-4adb-8369-2300ec43a31f,1,pair01_58,58,20014,6,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,1,1,0,1,1,1,B,False,2026-04-27 07:29:55.807910+00:00
28750317-f47a-48c0-bc97-927bd381d106,1,pair01_59,59,20014,4,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,1,1,A,False,2026-04-27 07:30:32.118128+00:00
025ac15a-d5aa-4949-9bca-4fd2a8a314bf,1,pair01_60,60,20014,2,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,0,1,A,False,2026-04-27 07:30:54.165332+00:00
2e919a6f-35f8-4e3e-add6-b5c6e3763331,1,pair02_57,57,20014,8,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,1,0,0,0,A,False,2026-04-27 07:32:20.239343+00:00
8dc37699-fd88-48f7-9343-fc4c605dddb2,1,pair02_58,58,20014,6,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,0,0,0,0,A,False,2026-04-27 07:32:44.259355+00:00
de65419f-443e-4555-bc2c-6008dfbe6180,1,pair02_59,59,20014,4,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,1,1,0,0,A,False,2026-04-27 07:33:11.638468+00:00
8a10d36b-4541-4de9-99ac-7a6251cfcab9,1,pair02_60,60,20014,2,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,0,1,0,0,A,False,2026-04-27 07:33:22.752954+00:00
9ff9aa06-280d-4df7-8bcb-a05089c18fe5,1,pair01_193,193,20048,8,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,0,0,1,1,1,1,B,False,2026-04-27 07:34:15.166334+00:00
5a1cd50c-7a76-4c48-b201-845b037c9715,1,pair01_194,194,20048,6,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,0,0,0,A,False,2026-04-27 07:34:45.268356+00:00
6615e9e5-2c71-4c01-a0ef-13e2c1c36de0,1,pair01_195,195,20048,4,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,0,0,1,1,1,1,B,False,2026-04-27 18:13:15.084080+00:00
d2894317-3698-4323-ac0f-c7825b6fc4f7,1,pair01_196,196,20048,2,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,0,0,A,False,2026-04-27 18:13:32.292792+00:00
8c7929d7-6a7a-4279-a6ef-b3639c8dd888,3,pair01_57,57,20014,8,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,0,0,0,0,1,1,B,False,2026-04-27 19:01:26.250593+00:00
