metrics_model_name,size,mode,dataset,category,tp,tn,fp,fn,precision,recall,f1,accuracy,support
qwen35_08b_layer_only,08b,layer_only,v10,existence,1168,1106,111,199,0.9132134480062549,0.8544257498171178,0.8828420256991686,0.8800309597523219,2584
qwen35_08b_layer_only,08b,layer_only,v10,appearance,368,1717,278,57,0.5696594427244582,0.8658823529411764,0.6872082166199813,0.8615702479338843,2420
qwen35_08b_layer_only,08b,layer_only,v10,interaction,508,1272,185,218,0.733044733044733,0.699724517906336,0.7159971811134601,0.81539166284929,2183
qwen35_08b_layer_only,08b,layer_only,v13,existence,2171,1312,294,480,0.8807302231237323,0.8189362504715202,0.8487099296325255,0.8181818181818182,4257
qwen35_08b_layer_only,08b,layer_only,v13,appearance,354,2109,132,973,0.7283950617283951,0.266767143933685,0.39051296194153334,0.6903026905829597,3568
qwen35_08b_layer_only,08b,layer_only,v13,interaction,249,2099,38,996,0.867595818815331,0.2,0.32506527415143605,0.6942637492607925,3382
qwen35_08b_lora_layer,08b,lora_layer,v10,existence,1190,1147,70,177,0.9444444444444444,0.8705193855157278,0.9059763989341454,0.9044117647058824,2584
qwen35_08b_lora_layer,08b,lora_layer,v10,appearance,377,1761,234,48,0.6170212765957447,0.8870588235294118,0.7277992277992278,0.8834710743801653,2420
qwen35_08b_lora_layer,08b,lora_layer,v10,interaction,488,1340,117,238,0.8066115702479338,0.6721763085399449,0.73328324567994,0.8373797526339899,2183
qwen35_08b_lora_layer,08b,lora_layer,v13,existence,2637,1104,502,14,0.8400764574705321,0.994718973972086,0.910880829015544,0.8787878787878788,4257
qwen35_08b_lora_layer,08b,lora_layer,v13,appearance,769,1879,362,558,0.6799292661361627,0.5795026375282593,0.6257119609438568,0.742152466367713,3568
qwen35_08b_lora_layer,08b,lora_layer,v13,interaction,738,1911,226,507,0.7655601659751037,0.5927710843373494,0.6681756450882752,0.783264340626848,3382
qwen35_2b_layer_only,2b,layer_only,v10,existence,1324,974,243,43,0.8449266113592853,0.9685442574981712,0.9025221540558964,0.8893188854489165,2584
qwen35_2b_layer_only,2b,layer_only,v10,appearance,398,1562,433,27,0.4789410348977136,0.9364705882352942,0.6337579617834395,0.8099173553719008,2420
qwen35_2b_layer_only,2b,layer_only,v10,interaction,561,1248,209,165,0.7285714285714285,0.7727272727272727,0.75,0.8286761337608796,2183
qwen35_2b_layer_only,2b,layer_only,v13,existence,2446,1180,426,205,0.8516713091922006,0.922670690305545,0.8857504979177984,0.851773549447968,4257
qwen35_2b_layer_only,2b,layer_only,v13,appearance,562,1925,316,765,0.6400911161731208,0.4235116804822909,0.5097505668934241,0.6970291479820628,3568
qwen35_2b_layer_only,2b,layer_only,v13,interaction,429,2065,72,816,0.8562874251497006,0.344578313253012,0.49140893470790376,0.7374334713187463,3382
qwen35_2b_lora_layer,2b,lora_layer,v10,existence,1257,1131,86,110,0.93596425912137,0.9195318215069496,0.9276752767527675,0.9241486068111455,2584
qwen35_2b_lora_layer,2b,lora_layer,v10,appearance,372,1685,310,53,0.5454545454545454,0.8752941176470588,0.6720867208672087,0.85,2420
qwen35_2b_lora_layer,2b,lora_layer,v10,interaction,522,1304,153,204,0.7733333333333333,0.71900826446281,0.7451820128479657,0.8364635822262941,2183
qwen35_2b_lora_layer,2b,lora_layer,v13,existence,2633,1105,501,18,0.8401403956604978,0.9932101093926821,0.9102852203975799,0.8780831571529246,4257
qwen35_2b_lora_layer,2b,lora_layer,v13,appearance,1142,1793,448,185,0.7182389937106918,0.8605877920120573,0.7829962290023997,0.8225896860986547,3568
qwen35_2b_lora_layer,2b,lora_layer,v13,interaction,804,1984,153,441,0.8401253918495298,0.6457831325301204,0.7302452316076294,0.8243642814902424,3382
qwen35_4b_layer_only,4b,layer_only,v10,existence,1217,1081,136,150,0.8994826311899483,0.8902706656912948,0.8948529411764705,0.8893188854489165,2584
qwen35_4b_layer_only,4b,layer_only,v10,appearance,375,1663,332,50,0.5304101838755304,0.8823529411764706,0.6625441696113074,0.8421487603305785,2420
qwen35_4b_layer_only,4b,layer_only,v10,interaction,520,1304,153,206,0.7726597325408618,0.7162534435261708,0.7433881343817013,0.8355474118185983,2183
qwen35_4b_layer_only,4b,layer_only,v13,existence,2606,1038,568,45,0.8210459987397606,0.983025273481705,0.894763948497854,0.8560018792576932,4257
qwen35_4b_layer_only,4b,layer_only,v13,appearance,1048,1677,564,279,0.6501240694789082,0.7897513187641296,0.7131677441306565,0.7637331838565022,3568
qwen35_4b_layer_only,4b,layer_only,v13,interaction,917,1759,378,328,0.7081081081081081,0.7365461847389558,0.7220472440944883,0.7912477823772915,3382
qwen35_4b_lora_layer,4b,lora_layer,v10,existence,1268,1136,81,99,0.9399555226093402,0.9275786393562546,0.9337260677466864,0.9303405572755418,2584
qwen35_4b_lora_layer,4b,lora_layer,v10,appearance,368,1750,245,57,0.600326264274062,0.8658823529411764,0.7090558766859345,0.8752066115702479,2420
qwen35_4b_lora_layer,4b,lora_layer,v10,interaction,503,1337,120,223,0.8073836276083467,0.6928374655647382,0.7457375833951074,0.8428767750801649,2183
qwen35_4b_lora_layer,4b,lora_layer,v13,existence,2620,1207,399,31,0.8678370321298443,0.988306299509619,0.9241622574955908,0.898989898989899,4257
qwen35_4b_lora_layer,4b,lora_layer,v13,appearance,1151,1880,361,176,0.7612433862433863,0.8673700075357951,0.8108488904543854,0.8494955156950673,3568
qwen35_4b_lora_layer,4b,lora_layer,v13,interaction,876,1899,238,369,0.7863554757630161,0.7036144578313253,0.7426875794828317,0.8205204021289177,3382
